Date;Pair;Side;Price;Quantity;Amount;Fee;RealizedProfit
28/02/2021 14:01;DOGEUSDT;BUY;0.047;1817;85.3990000000 USDT;-0.0085399000 USDT;2.7455
28/02/2021 14:01;NEOUSDT;BUY;33.55;2.6;87.2300000000 USDT;-0.0087230000 USDT;2.2263
28/02/2021 14:01;XRPUSDT;BUY;0.4108;223.8;91.9370400000 USDT;-0.0091937000 USDT;0.5746
28/02/2021 14:01;ENJUSDT;BUY;0.5016;49;24.5784000000 USDT;-0.0024578400 USDT;1.372
28/02/2021 14:01;ENJUSDT;BUY;0.5016;116;58.1856000000 USDT;-0.0058185600 USDT;0.812
28/02/2021 14:02;ATOMUSDT;BUY;17;5.71;97.0700000000 USDT;-0.0097070000 USDT;2.2331
28/02/2021 14:03;FTMUSDT;SELL;0.4094;184;75.3296000000 USDT;-0.0075329600 USDT;-3.2568
28/02/2021 14:07;DOTUSDT;BUY;30.75;2.9;89.1750000000 USDT;-0.0089175000 USDT;4.966
28/02/2021 14:33;VETUSDT;SELL;0.03816;2239;85.4402400000 USDT;-0.0085440200 USDT;-1.13019
28/02/2021 14:33;SNXUSDT;SELL;16.96;5.6;94.9760000000 USDT;-0.0094976000 USDT;-1.484
28/02/2021 16:03;ATOMUSDT;SELL;16.875;5.94;100.2375000000 USDT;-0.0300712500 USDT;-0.37125
28/02/2021 16:03;XTZUSDT;SELL;3.253;31;100.8430000000 USDT;-0.0302529000 USDT;-0.527
28/02/2021 16:03;QTUMUSDT;SELL;4.609;15.9;73.2831000000 USDT;-0.0219849300 USDT;-1.5295
28/02/2021 16:03;QTUMUSDT;SELL;4.608;3.1;14.2848000000 USDT;-0.0042854400 USDT;0
28/02/2021 16:03;THETAUSDT;SELL;2.8476;29.8;84.8584800000 USDT;-0.0254575400 USDT;-2.65816
28/02/2021 16:03;KNCUSDT;SELL;1.47367;22;32.4207400000 USDT;-0.0097262200 USDT;0
28/02/2021 16:03;KNCUSDT;SELL;1.47368;36;53.0524800000 USDT;-0.0159157400 USDT;-1.11128
28/02/2021 16:03;COMPUSDT;SELL;354.03;0.078;27.6143400000 USDT;-0.0082843000 USDT;0
28/02/2021 16:03;COMPUSDT;SELL;354.04;0.17;60.1868000000 USDT;-0.0180560400 USDT;-1.70624
28/02/2021 16:03;ZILUSDT;SELL;0.1004;1084;108.8336000000 USDT;-0.0108833600 USDT;-1.6802
